class,tweet,clean_txt
1,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3", got bitch dm dont ever readem top 
2,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started", basebal season win yanke love start
1,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""", littl stupid bitch dont fuck yoooooouuuu
1,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL", realli ask dead ass serious tho could say bitch wheet lol
2,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""", im earli bird im night owl im wise worm
2,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.", overdos heavi drug doesnt sound bad tonight pussi shit everi day
2,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.", fairi tale creatur
1,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",  aw fag dont tweet aw lol
2,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha", benbal hahaha
1,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",  didnt say anyth tho kiss faggot
2,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",  yup
1,"""@G27Status: I could go for a fat ass bitch on my lap"" same", could go fat ass bitch lap
1,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",  miss call  yo po bitch twitter finna screamn freemoneymell
1,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;", ya side bitch gotta know rule shitanybodi ask cousin jersey thinkin bout move lmmfao 
1,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah", fuck yeah
1,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh", hoe think meat wont slap ass  ainna bruh
1,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;", yall bitch wit edg talk 
1,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit", yall still go trick treat year nahhel yeah ima da sweet tooth bandit steal bitch bag n shit
1,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck", wanna sex mom fuck right pussi came damn got hack like fuck
1,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao", kiss u eye open watch bitchlmfao
1,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""", woulda coulda shoulda ass hoe 
1,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!", happi bday bitch ass nigga jetsandaswisherpreci bitch roll
1,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",  pipinho use send bitch
1,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""", ugli bitch like im wcw duh bitch aint nobodi 
1,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",  nigga know hacki sack hoe nah throw look pass lmao
1,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""", glad im get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em
2,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc", im idc
1,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?", would wife hoe cuz wouldnt care cheat forc relationship first place
1,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu", singl isnt excus hoe theonemissluu
1,"""@HoskinsTy96: White boy power bitch"" black power bitch", white boy power bitch black power bitch
1,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.", let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill
1,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?", verballyabrupt bitch u around world back
1,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *", anelylov dont get dick suck yo parti bad bitch im fr gone set  anelylov 
1,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""", oomf soooo cute probabl hoe lot
1,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe", lmao damn captain saveaho
2,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs", hot sox leg
1,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do", wish bitch like brother keezi  ooooow bet
1,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy", dress cat halloween basic pussi
1,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3", pornhub get game stream featur dumb bitch gtfo pornhub get 
1,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH", stop scare choke sex u bitch ass nigga  like say guy hit women bed foh
1,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig", whitethunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig
1,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",  oh man  molli ho fuck ya seed fix
1,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""", your man refer everi girl bitch
1,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!", lmfao cat start beat shit nigga final got pussi nigga
2,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?", peel peel bring back rewind back im move shaq line ooooow tf said trash
1,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",  io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha
1,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!", vondreaam naw old tape new cover  upcom mixtap kingofthehil yeah im wait hoe mayn
1,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.", ol dirti foot ass bitch funni
1,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY", whitethunduh that get yellow flag amaz  hell yeah niggi
1,"""@KissMySmilee: Don't got time for bitches to be actin iffy.""", dont got time bitch actin iffi
2,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",knightfann ucfpinkparti come stay aliv knight nation still earli bird special comeatmeut
1,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them", amp wonder nobodi decent want
1,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!", bruh stud keep think im soft hell ask ya girl mani time scream bitch oh okay stfu bye hoe
1,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;", dri pussi bitch alway blame 
1,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;", 
1,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""", gucci mane jail drop mixtap everi month hoe cant even text back
1,"""@Latrobemark: You love these hoes more then money wats wrong these niggas""", love hoe money wat wrong nigga
1,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol", loyal bitch burb without daddi issu like find holograph mewtwo sound like lol
1,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !", easi cum easi hoe that fact 
1,"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.", major fuck respect charli sheen
1,"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho", wish bae  got hoe tho
1,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""", fuck twerk bitch cook 
1,"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",tcodasmycxodb
1,"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now", shut zoe fight  zoe im good man good maam move along
1,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em", lmao fuck snake bitch  em
1,"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;", big booti hoe everywher sheesh  damn 
2,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum", stay tune mlbnetwork updat report yanke    week  bum
2,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04", yes 
1,"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT", oregon choke everi year get field trash ass program rft
1,"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo", terrel owen best eagl amp cowboy ever dude cri like bitch tv romo
0,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers", there black peopl nigger
1,"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",  gabrielastarr could u bitch potent
2,"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.", piss lad past would lick dirti sole slept
2,"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",tcoprrskknqrv love frat boy w soft long sole
2,"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.", sexi lad hot sole arch
1,"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel", whitethunduh nah fam gotta cheat hoe depend femal feel
2,"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol", vontethekidd  got hick lol
1,"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch", new twitter confus shit go back south america bitch
1,"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy", toto mean ass vaginai think pussi caus toto santi like nasti pussi
1,"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!", actual choos ugli bitch  ass must fat
1,"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",
1,"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody.", im tire bitch say look mean  nigga big af wear tight shirt grim everybodi
2,"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",tcorbitegrnhm climat
1,"""@MvckFadden: ""Stay beautiful you bitch""""", stay beauti bitch
1,"""@NICKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls", wutkindar purpl ceeeleeeman gurl jus playin stupid hoe  track still shit sum gurl
1,"""@NastyCopper: Money getting taller and bitches getting blurry""", money get taller bitch get blurri
1,"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;", aint never seen bitch obsess  im obsess mine 
1,"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh.",  meant one smh
0,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",
1,"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol", peopl alway ask im mix bad asian bitch lol
0,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo", whiteponyjr ariza snake coward least isnt crippl like hero roach lmaoo
2,"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf", foster home imaginari  whoa chillthat show everyth tf
1,"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!", lowkey tire tire quiet go sleep hoe
1,"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK""",tcocussdjesrk
1,"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;""", dont love hoe 
1,"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!""", yo girl cant homeboy ol weak bitch ass nigga
1,"""@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol""",  think worst advic gave  dont pussi speed lol
1,"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy", quot tweet favorit animalpussi
